video_link,hashtag
https://www.tiktok.com/@strxcyy/video/7417166272653200683,#aesthetics
https://www.tiktok.com/@strxcyy/video/7417166272653200683,#myaesthetic
https://www.tiktok.com/@ln3ck/video/7595611443152604447,#corecore
https://www.tiktok.com/@ln3ck/video/7595611443152604447,#losercore
https://www.tiktok.com/@ln3ck/video/7595611443152604447,#fyp
https://www.tiktok.com/@ln3ck/video/7595611443152604447,#loser
https://www.tiktok.com/@thatcutieofccc/video/7612674005409090847,#juminocore
https://www.tiktok.com/@thatcutieofccc/video/7612674005409090847,#fypシ
https://www.tiktok.com/@thatcutieofccc/video/7612674005409090847,#juminocore🌱
https://www.tiktok.com/@naowakii._/video/7605292534742387988,#moodboard
https://www.tiktok.com/@naowakii._/video/7605292534742387988,#igari
https://www.tiktok.com/@naowakii._/video/7605292534742387988,#juminocore
https://www.tiktok.com/@naowakii._/video/7605292534742387988,#jumino
https://www.tiktok.com/@naowakii._/video/7605292534742387988,#asthetic
https://www.tiktok.com/@crittersxqs/video/7471816381965847854,#foryou
https://www.tiktok.com/@crittersxqs/video/7471816381965847854,#juminocore
https://www.tiktok.com/@crittersxqs/video/7471816381965847854,#heisei
https://www.tiktok.com/@crittersxqs/video/7471816381965847854,#fyp
https://www.tiktok.com/@crittersxqs/video/7471816381965847854,#targetaudience
https://www.tiktok.com/@crittersxqs/video/7471816381965847854,#moots
https://www.tiktok.com/@crittersxqs/video/7471816381965847854,#🍀
https://www.tiktok.com/@crittersxqs/video/7471816381965847854,#fypシ
https://www.tiktok.com/@crittersxqs/video/7471816381965847854,#aesthetic
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#CapCut
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#juminocore
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#heiseiretro
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#fyp
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#uruseiyatsura
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#lumnolove
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#song
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#mecore
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#me
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#core
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#moots
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#moots?
https://www.tiktok.com/@yhiqn/video/7471110460574682423,#follow
https://www.tiktok.com/@loser0196/video/7601658799190969620,#core
https://www.tiktok.com/@loser0196/video/7601658799190969620,#corecore
https://www.tiktok.com/@loser0196/video/7601658799190969620,#losercore
https://www.tiktok.com/@loser0196/video/7601658799190969620,#loser
https://www.tiktok.com/@loser0196/video/7601658799190969620,#mecore
https://www.tiktok.com/@anianianilu/video/7417135719413517610,#foryou
https://www.tiktok.com/@anianianilu/video/7417135719413517610,#fyp
https://www.tiktok.com/@anianianilu/video/7417135719413517610,#sanrio
https://www.tiktok.com/@anianianilu/video/7417135719413517610,#cutestuff
https://www.tiktok.com/@anianianilu/video/7417135719413517610,#pink
https://www.tiktok.com/@anianianilu/video/7417135719413517610,#pinktok
https://www.tiktok.com/@s76.stxllaa/video/7550701322719218966,#loser
https://www.tiktok.com/@s76.stxllaa/video/7550701322719218966,#nerdy
https://www.tiktok.com/@s76.stxllaa/video/7550701322719218966,#ootd
https://www.tiktok.com/@s76.stxllaa/video/7550701322719218966,#foryou
https://www.tiktok.com/@s76.stxllaa/video/7550701322719218966,#foryoupage
https://www.tiktok.com/@morningstars0_o/video/7587500290803240199,#metalhead
https://www.tiktok.com/@morningstars0_o/video/7587500290803240199,#losercore
https://www.tiktok.com/@morningstars0_o/video/7587500290803240199,#2000s
https://www.tiktok.com/@morningstars0_o/video/7587500290803240199,#weezer
https://www.tiktok.com/@morningstars0_o/video/7587500290803240199,#alt
https://www.tiktok.com/@juubebear/video/7581307684557704479,#kawaii
https://www.tiktok.com/@xanumov/video/7588444355388574983,#recommendations
https://www.tiktok.com/@xanumov/video/7588444355388574983,#fyp
https://www.tiktok.com/@xanumov/video/7588444355388574983,#JakeGyllenhaal
https://www.tiktok.com/@xanumov/video/7588444355388574983,#Donnie
https://www.tiktok.com/@xanumov/video/7588444355388574983,#donniedarkoedit
https://www.tiktok.com/@xanumov/video/7588444355388574983,#edit
